time (min),cell1,cell2,cell3,cell4,cell5
7,0.999917853,0.999946875,0.998915482,0.997398769,0.99948931
7.166666667,0.999875924,0.997699119,1.000661636,1.001839109,0.999922725
7.333333333,1.000228622,0.999842107,1.000867682,1.003470277,0.998853169
7.5,1.000026375,0.999289692,1.00149979,1.010197367,0.998035274
7.666666667,0.999265484,1.000823119,0.999023743,0.990260099,0.996497351
7.833333333,0.999266718,0.998978562,0.999813005,1.003581325,0.997937406
8,0.999705741,1.002239079,1.001433436,1.001680587,1.001299866
8.166666667,0.997564887,0.999045233,1.00013779,0.996787821,1.000474979
8.333333333,1.000403738,1.000880265,0.99991079,1.00227317,1.00234845
8.5,0.999872224,1.002318449,1.001255328,1.003492594,1.001020243
8.666666667,1.001776301,1.002429567,1.000822282,1.003308421,0.997084558
8.833333333,0.999891955,0.999032533,1.002495098,1.004165674,1.002565157
9,1.001571588,1.000013546,1.001105159,1.003378829,1.001922025
9.166666667,0.999651479,1.000026245,1.000731482,1.000045589,0.998119161
9.333333333,0.999467731,0.999111903,0.999093589,0.991119946,0.997266312
9.5,1.000195325,1.001445379,1.00199919,1.007801011,0.998643453
9.666666667,0.999533091,0.99791183,1.00068259,1.001041641,0.997902453
9.833333333,1.000155862,0.999477005,1.002495098,1.007396019,0.999167745
10,0.999714373,0.999289692,0.999959682,1.003858635,0.998182076
10.16666667,1.000634348,0.998286456,0.999840943,1.001335133,0.999146773
10.33333333,1.000260685,0.997762614,1.002718606,1.001408382,1.001495601
10.5,0.998089002,1.000946936,1.000521944,1.010254187,0.998419755
10.66666667,1.001836728,1.000988209,1.00036479,0.993667947,1.001348799
10.83333333,0.999751369,0.999546851,1.000151759,1.00198149,0.996679105
11,0.999448,1.00064533,1.002156344,0.998324042,0.999370471
11.16666667,0.998900454,0.996216488,1.000734974,0.995652146,1.001118111
11.33333333,0.99964778,1.000045294,1.00109119,1.000823251,1.000950338
11.5,0.999293848,0.999565899,0.99676422,1.002838537,0.995595568
11.66666667,0.999706974,1.000010371,1.002669713,1.003251806,1.000188366
11.83333333,1.000363042,1.000807245,1.000525436,0.998958706,1.001551526
12,0.998976913,1.00253751,1.002376359,0.997041539,0.999552225
12.16666667,1.000046107,0.998927765,1.001684882,1.005224023,1.001670365
12.33333333,1.000391406,1.000534213,0.998377666,1.001372025,0.998622481
12.5,0.998777133,0.998991261,1.000312405,0.995517671,0.998895113
12.66666667,0.999645313,1.000781847,1.000570836,0.997436402,0.99911182
12.83333333,1.000133665,0.999829408,1.000333359,1.007735544,0.99910483
13,0.997598184,0.997861033,1.001580113,0.997006129,0.997895463
13.16666667,1.000767535,0.999889729,1.000874667,0.994953951,0.999894763
13.33333333,0.999119966,0.99814994,0.998925959,1.001203951,1.002802836
13.5,0.998865924,0.998918241,0.999924759,1.002777887,0.99960815
13.66666667,0.999251919,1.000146887,0.99995619,1.006153166,1.000279244
13.83333333,1.000511027,1.001956522,0.999708236,1.001077339,1.002774874
14,0.998302347,1.000772322,1.001597575,1.002363548,1.0002373
14.16666667,0.998962115,1.001788258,1.00109119,1.002573991,0.999076867
14.33333333,1.000219989,0.99854044,0.999107559,0.998648785,0.999517273
14.5,0.997379906,1.002178758,0.998891036,0.998608475,0.999139782
14.66666667,1.00021259,0.999683367,0.998381158,0.990493147,0.999419405
14.83333333,1.00038524,1.001686664,0.999690774,1.004605417,1.000782564
15,0.999271651,0.999819883,1.002620821,1.006843416,0.997531954
15.16666667,1.00174917,1.001889851,0.998751343,1.003494859,0.99998564
15.33333333,0.998816596,1.002162884,1.00041019,1.001860561,0.998797245
15.5,0.999681076,1.000448493,0.998887543,1.000994455,1.002306506
15.66666667,1.000349476,1.000480241,1.000616236,1.008343197,0.998832198
15.83333333,0.999883323,0.997029236,0.999568543,0.999863433,1.000447017
16,1.00014353,1.000664379,1.000734974,1.007244579,0.998300915
16.16666667,0.998367707,1.001035831,0.999711728,0.997290809,1.00023031
16.33333333,0.99924452,0.999578599,1.000927051,1.002226849,0.998762292
16.5,1.000195325,0.997197501,1.000633697,1.008793152,0.997958378
16.66666667,0.99920999,0.998451546,0.996708343,0.996652193,1.000495951
16.83333333,1.001645581,0.999702416,1.001674405,0.998773132,0.997343209
17,1.000131198,1.000480241,1.000071436,0.997177044,0.998853169
17.16666667,1.001120233,0.999861156,0.998091297,1.008285388,0.998510632
17.33333333,0.999737804,1.001169172,1.000179697,0.999631291,0.998265962
17.5,0.999193958,1.00128029,0.999446313,1.001976796,1.000447017
17.66666667,1.000196558,1.000985034,1.000654651,1.007015607,1.00160745
17.83333333,1.000502395,0.999435733,1.001038805,1.003366847,0.998014302
18,0.998019942,1.002156534,1.002477636,0.999467622,1.003837439
18.16666667,0.998814129,0.99987703,1.002449698,1.002719625,0.998713358
18.33333333,1.000963615,0.99877855,1.002128405,0.998149338,1.003907344
18.5,1.000231088,0.999565899,1.002323975,1.008905805,1.000747611
