fov_id;chnl_id;lineage_times;fl_totals;fl_concs
4;660;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[29948 44496 15368 21546 20237 20333 18958 19133 17929 17200 15646 16696
 15513 16041 15700 15572 14879]";"[ 9.1752451   8.80760095  7.39316852  9.58456339  9.66388626 11.25599116
  8.7331254   9.71254829  8.34802167  9.91057208  7.62352272  7.42188488
  7.12061725  8.47466553  7.31016455  7.1817511   6.82960511]"
4;1396;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[29429 21220 27294 27182 28415 26232 24928 23063 22001 20420 21067 19580
 18261 17732 17615 16582 16235]";"[7.08790944 6.53727665 7.75361405 7.8337857  7.48702176 8.43727772
 7.38896877 7.70424337 6.80587203 6.94906024 6.58228233 6.0946388
 5.27623541 5.04164178 5.49496864 5.16935695 5.52269209]"
5;587;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421];"[43361 27553 19896 22837 22808 21723 22075 19959 21433 18952 19348 18810
 18969 17031 16000]";"[8.33224443 6.5602381  6.49347258 8.433161   6.86574353 6.16430193
 6.69751214 7.63542464 7.91469719 6.23831468 6.87073864 5.77348066
 6.41711773 6.23846154 6.32911392]"
5;735;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[33161 18571 28687 12361 11168 11219 10007 11651  9425 11056  9681  9181
  8957  8435  8351  8769  8299]";"[8.57316443 6.79758419 6.81077873 8.01290793 7.41916541 7.27261662
 7.46311922 8.24139663 6.63285679 6.75693735 6.78586015 5.88708627
 6.60092476 5.73251336 6.12335511 6.53983136 5.39956692]"
5;1766;[  1  31  61  91 121 151 181 241 271 391];[15480 23473 20547 25780 24480 22189 20223 14949 14123 11626];"[5.52857143 4.67589641 5.67596685 6.39384921 6.73267327 5.47066075
 5.015625   3.70758929 3.46491658 3.19746975]"
5;1471;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[24887 16417 29032 13614 12684 11645 10604  9948  9619  9325  8806  7913
  7423  7728  7270  7088  6806]";"[7.33264585 6.1810994  6.59218892 6.9888269  6.78219209 6.88371845
 6.36325629 6.10456329 5.55110563 5.38830271 4.84455632 4.8244404
 4.53329794 4.11758176 4.3182261  4.03039625 3.94866255]"
6;291;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[40107 33415 21991 28633 30123 29298 29863 25948 24479 27308 26060 24061
 22936 22218 21885 22099 20648]";"[6.81628144 6.96145833 6.16884465 8.68610756 8.82524754 7.94429252
 9.41744367 7.98817675 7.00371383 8.0005265  8.92618354 7.04924081
 7.01452892 8.147669   6.66362165 6.52318897 7.1030798 ]"
6;661;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[32566 21364 13067 17242 18137 17775 16269 16834 15501 14287 14304 13666
 14229 13629 12372 13138 12652]";"[8.38033968 6.68460576 5.61221829 7.37619268 9.74763039 6.72793168
 8.58637995 8.51878673 7.82972695 7.20233235 7.19765712 6.93187763
 7.07701875 6.84191273 6.53875127 6.62058785 6.97290258]"
7;144;[  1  31  61  91 121 151 181 211 241 271 301 331 451 481];"[21791 35692 19475 24186 21565 18376 16196 14024 13374 12431 10975 10444
  4343  4124]";"[7.45756331 7.62649573 6.53085178 9.6744     8.61910472 7.3504
 6.46805112 5.9222973  4.8989011  4.41755508 4.0498155  4.15764331
 3.8719426  3.94585847]"
7;1545;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[26720 20549 16721 14876 13430 12727 13385 11070 12351 10414  9569  9430
  8891  9082  9293  8773  8272]";"[4.28205128 4.06749802 4.95461028 4.00468194 3.9848788  3.7600634
 4.04059069 3.24164883 3.32395917 3.19769854 2.65712952 2.89689736
 3.10610831 2.60101614 2.56850749 2.47867483 2.58155547]"
