fov_id;chnl_id;lineage_times;fl_totals;fl_concs
6;268;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 96672  98951 122567 132614 162912 164965 159302 161233 164887 150448
 151287 153183 147276 145582 149995 149732 153907 153565 157737 159931]";"[17.54525137 20.36313257 16.59193628 19.33364856 20.86142003 21.419929
 19.29945625 19.3189359  22.05018421 18.98715024 23.06328915 21.92876861
 22.84253449 19.70748462 21.92094079 24.07130095 24.73879807 24.59214711
 24.82388627 23.03356473]"
6;565;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451];"[40361 56491 67530 35332 30849 35791 35566 35822 36027 35543 32648 31571
 30101 34435 66930 28637]";"[20.84641191 24.28190861 21.73651988 23.75422165 22.43994321 22.38341601
 30.03422615 25.67149105 24.22780021 27.20506574 25.35203036 24.02452248
 23.52084907 24.61715382 52.01226894 22.13235834]"
6;638;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[35058 51146 65698 49193 55008 52480 51448 47753 54801 61631 67230 77338
 75222 77917 80230 87426 89469 88449 91410 73865]";"[15.80243958 19.20003403 17.57518902 31.23149117 31.27878623 31.58966828
 29.37399852 27.2643553  30.12345281 33.3766815  38.99306745 44.63160488
 41.53873425 43.16249133 48.0435201  52.352646   49.22071425 48.83989723
 46.57906457 38.6142586 ]"
7;492;"[  1  31  61  91 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[56256 62923 71055 78329 49355 43420 49085 52659 56506 59390 59968 59783
 57713 59798 60366 54214 56297 41677 43486]";"[27.25581395 24.83149171 24.41752577 21.03356606 32.58517181 29.97682997
 32.74974772 36.18800525 34.46038354 34.28661336 37.69528747 33.02545778
 34.99165421 36.67266709 33.4814924  31.57352362 31.59420919 24.08239056
 26.41195689]"
7;1674;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[68044 78909 40270 37431 44983 46778 46786 46015 45147 42791 44346 46262
 43739 46710 45082 46250 44243 44220 46741 46214]";"[15.47861692 13.66153047 11.97081418  9.38522828 10.99375198 12.15051949
 11.96910511 11.52614733 13.45515517 11.18183397 10.57172436 13.63568097
 11.19570728 12.3337947  11.88798648 12.37071076 11.72788155 13.34889206
 12.69257508 14.0424615 ]"
7;1453;"[  1  31  61 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[94143 58255 77811 31414 26147 24793 27971 24459 26145 25849 31193 28414
 31238 35932 39180 36112 38793 39497 37458]";"[15.29288499 20.1156768  21.36490939 20.39957458 16.32283581 19.11146941
 19.40472137 17.37010357 16.8962018  17.10983235 20.37175763 20.98915094
 21.62040361 24.85367449 25.81045604 29.10101216 28.53258933 26.24035142
 27.66986753]"
7;1009;"[  1  31  61  91 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[29554 28483 26896 25307 24677 25028 26013 25559 22782 22118 21008 20731
 19732 20559 21378 21305 22446 22081 22688]";"[12.65657132 12.57145607 10.92541318 10.30083267 10.08389985 10.87939511
 11.09488561 11.48991421 10.17485375 10.18958842  9.44775233 10.52619617
  9.31423785  9.62924622  9.34026005  9.91383072 10.44047551 10.28750121
  9.7621147 ]"
8;1452;"[  1  31  61  91 121 151 181 211 241 271 301 331 391 421 451 481 511 541
 571]";"[52548 27424 46964 52448 24564 17528 17117 17911 15033 15172 14920 13847
 20192 13859 18901 14037 14343 25256 15801]";"[14.6536531  12.71985158 20.85435169 18.38990182 14.82387727 13.58081631
 12.26085434 11.8804777  12.22616273 10.10581897 11.57559991 10.84164524
 16.90993844 11.50595204 14.83269802 12.63842133 11.66757007 23.25004894
 12.306891  ]"
8;862;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[41288 48488 54231 56189 28849 28777 29282 29955 27707 28809 30880 28259
 37808 36404 30777 23090 22648 22767 24692 23838]";"[18.34921457 19.13759904 14.64968935 15.26984336 14.29508631 15.16358233
 17.4637133  20.23598956 14.31664143 18.20939558 19.59881089 22.16804285
 27.44756123 23.05753258 22.83124438 16.24961944 17.78570739 15.45606223
 15.63939662 15.37190858]"
9;419;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[130669 173674  61148 100012  77412  71714  74495  70851  66534  64537
  64699  64862  61910  61531  62242  63604  59803  60291  59364  57783]";"[17.26598837 19.7896536  15.25700957 19.49010616 18.63634308 13.30016905
 14.77617242 15.73816054 16.43703335 13.8443715  15.69509131 13.91408997
 15.51306295 14.02895389 14.39038992 13.81344964 14.01763969 14.33371033
 15.20326779 15.23624156]"
