Magnitude (g/L);2.5;Period (min);1.666666667;Starvation Time;2 hour
;;;;;
Time (minutes);Measured OD;;;;
0;0.832;;;;
30;0.828;;;;
55;0.868;;;;
105;0.932;;;;
145;0.916;;;;
175;0.944;;;;
205;0.96;;;;
235;0.964;;;;
295;0.988;;;;
