Time,OD
0,0.774277872367324
4.25,0.786573596207615
8.5,0.785288860202954
12.75,0.772970788947305
17,0.788496903913572
21.25,0.774930475517526
25.5,0.780775481698219
29.75,0.780775481698219
34,0.784002132255924
38.25,0.781421939538508
42.5,0.776884409614504
46.75,0.776233732987325
51,0.767714567596165
55.25,0.768374006618332
59.5,0.783357911500463
63.75,0.776884409614504
68,0.782713143315973
72.25,0.789137023166442
76.5,0.785288860202954
80.75,0.785288860202954
85,0.786573596207615
89.25,0.799952496309174
93.5,0.787215191921323
97.75,0.795513267854993
102,0.804374960526187
106.413333333333,0.799319401312322
110.643333333333,0.803112927704115
114.875,0.808154344932353
119.106666666667,0.816315807532802
123.338333333333,0.811925195629162
127.57,0.840730621200541
131.801666666667,0.825079622130008
136.033333333333,0.826330693364582
140.265,0.819447665016703
144.5,0.82758172248123
148.75,0.823828533198716
153,0.830083819438213
157.25,0.823202882597953
161.5,0.835716581493584
165.748333333333,0.830709441067127
169.998333333333,0.830083819438213
174.25,0.84261352757832
178.5,0.840730621200541
182.75,0.844498186744244
187,0.840730621200541
191.248333333333,0.857757507003529
195.498333333333,0.848273527975305
199.748333333333,0.850164724486559
203.998333333333,0.856488634936277
208.248333333333,0.850164724486559
212.498333333333,0.859663862536845
216.748333333333,0.857122927236035
221.158333333333,0.861573889473306
225.39,0.864126577857889
229.621666666667,0.863487705201189
233.853333333333,0.867328040720069
238.083333333333,0.866046000237358
242.316666666667,0.868611989134203
246.548333333333,0.877011571457914
250.778333333333,0.882231577391994
255.01,0.886834853660954
259.248333333333,0.880269125283781
263.498333333333,0.882887088307931
267.748333333333,0.884857799124826
271.998333333333,0.878964233418537
276.248333333333,0.885516119531715
280.498333333333,0.880922600509976
284.748333333333,0.905637504005189
288.998333333333,0.895482069252388
293.248333333333,0.903589932914417
297.498333333333,0.905637504005189
301.748333333333,0.905637504005189
305.998333333333,0.908381070665426
310.248333333333,0.920930688021602
314.498333333333,0.915310455957973
318.748333333333,0.911832819170822
322.998333333333,0.90975867903611
327.248333333333,0.921638147230397
331.661666666667,0.903589932914417
335.893333333333,0.916708854061033
340.123333333333,0.916009063117068
344.355,0.925907787547703
348.586666666667,0.923767720817983
352.818333333333,0.936039557290537
357.05,0.935307647803747
