Time,OD
0,0.734340358701947
5.5,0.7434194985382
11,0.735045283154439
16.5,0.737153357707348
22,0.742034401052647
27.5,0.74617755867506
33,0.728659907940473
38.5,0.725071296159129
44,0.730798750208891
49.5,0.728659907940473
55,0.737853873030675
60.5,0.756383419854562
66,0.727944578136856
71.5,0.731509372492837
77,0.722903494223291
82.5,0.749602935179123
88,0.735045283154439
93.5,0.719265352668881
99,0.737153357707348
104.498333333333,0.728659907940473
110,0.747550640473446
115.498333333333,0.741340280109603
120.998333333333,0.72579145269666
126.498333333333,0.7434194985382
132,0.736451750159252
137.498333333333,0.744110539330116
143.163333333333,0.753682126940562
148.498333333333,0.735045283154439
153.998333333333,0.74272744350739
159.498333333333,0.751646672604832
164.998333333333,0.755709409545508
170.498333333333,0.755034520192551
176,0.756383419854562
181.498333333333,0.761744737551227
186.998333333333,0.759070768254121
192.5,0.765731507410069
197.998333333333,0.772970788947305
203.498333333333,0.776233732987325
208.998333333333,0.780775481698219
214.498333333333,0.782713143315973
219.998333333333,0.786573596207615
225.498333333333,0.797417971857358
230.998333333333,0.796148587791619
236.498333333333,0.803112927704115
241.998333333333,0.803112927704115
247.498333333333,0.803744094654081
252.998333333333,0.801217680432149
258.498333333333,0.806265881106436
263.998333333333,0.804374960526187
269.498333333333,0.810669093934153
274.998333333333,0.814435056312699
280.498333333333,0.81756894214303
285.998333333333,0.810669093934153
291.661666666667,0.819447665016703
296.998333333333,0.820699713685614
302.498333333333,0.813180428418335
307.998333333333,0.82758172248123
313.498333333333,0.823828533198716
318.998333333333,0.825705163832223
324.498333333333,0.832586599714452
329.998333333333,0.830709441067127
335.498333333333,0.831335107435309
340.998333333333,0.833838365696533
346.498333333333,0.836969308048586
351.998333333333,0.836969308048586
357.498333333333,0.844498186744244
