Time,zero,half,max
0,0.793604898352888,0.787856293997534,0.807525075525407
6,0.776884409614504,0.781421939538508,0.798052140645836
12,0.750966397724113,0.77818388511838,0.799952496309174
18,0.767714567596165,0.785931486128946,0.801849772697879
24,0.75772878117725,0.787856293997534,0.800585255494744
30,0.775582428595543,0.785931486128946,0.800585255494744
36,0.775582428595543,0.773624709286138,0.799952496309174
42,0.773624709286138,0.785288860202954,0.796148587791619
48,0.772970788947305,0.788496903913572,0.801217680432149
54,0.776884409614504,0.794877556864664,0.798685949946734
60,0.777534459856649,0.788496903913572,0.801849772697879
66,0.774277872367324,0.791692738976844,0.805005545833296
72,0.778832706283748,0.813180428418335,0.80689565316544
78,0.771660906027858,0.788496903913572,0.813807826586316
84,0.780128451319171,0.790415853268699,0.818821504820171
90,0.772970788947305,0.780128451319171,0.82758172248123
96,0.784645807044087,0.786573596207615,0.826956212367354
102,0.783357911500463,0.797417971857358,0.832586599714452
108,0.769032815596095,0.794241434210861,0.831960820181149
114,0.780775481698219,0.795513267854993,0.835090380887396
120,0.780128451319171,0.791692738976844,0.838222529379737
126,0.771004940754615,0.794877556864664,0.840730621200541
132,0.775582428595543,0.800585255494744,0.843869763297328
138,0.766393279753981,0.818821504820171,0.850164724486559
144,0.769032815596095,0.808783368548436,0.849534044574178
150,0.775582428595543,0.822577188247313,0.854587924504346
156.163333333333,0.779480827565206,0.813180428418335,0.849534044574178
162,0.778832706283748,0.811297244793309,0.859663862536845
168,0.780128451319171,0.81694243618599,0.859028017523856
174,0.793604898352888,0.815689035755343,0.859663862536845
180,0.786573596207615,0.825079622130008,0.859663862536845
186,0.789137023166442,0.821951429737353,0.859663862536845
191.998333333333,0.792967947766579,0.825079622130008,0.867969804619278
197.998333333333,0.798052140645836,0.819447665016703,0.861573889473306
204,0.810669093934153,0.832586599714452,0.863487705201189
209.998333333333,0.812552948060928,0.834464374195438,0.868611989134203
215.998333333333,0.809412166849683,0.845126834916949,0.864126577857889
222,0.815689035755343,0.843241544112185,0.863487705201189
227.998333333333,0.819447665016703,0.840730621200541,0.861573889473306
233.998333333333,0.811925195629162,0.834464374195438,0.860936796980516
239.998333333333,0.813180428418335,0.840103430391115,0.86989811408556
245.998333333333,0.818195327032773,0.841985712077137,0.873122901360472
251.998333333333,0.816315807532802,0.840730621200541,0.86989811408556
257.998333333333,0.831335107435309,0.848903646269082,0.864126577857889
263.998333333333,0.825079622130008,0.853322517008042,0.861573889473306
269.998333333333,0.826956212367354,0.858392566191196,0.863487705201189
275.998333333333,0.826956212367354,0.850795687590924,0.868611989134203
281.998333333333,0.834464374195438,0.860300121842609,0.859663862536845
287.998333333333,0.825705163832223,0.854587924504346,0.864126577857889
293.998333333333,0.830083819438213,0.852058431750473,0.860936796980516
299.998333333333,0.828832778900263,0.850164724486559,0.864126577857889
305.998333333333,0.831335107435309,0.860936796980516,0.865405720682808
311.998333333333,0.830709441067127,0.859028017523856,0.864126577857889
318.161666666667,0.833838365696533,0.863487705201189,0.859663862536845
323.998333333333,0.831335107435309,0.867969804619278,0.886175071368269
329.998333333333,0.839476314922332,0.868611989134203,0.877011571457914
335.998333333333,0.835090380887396,0.86989811408556,0.862849294235801
341.998333333333,0.833212447674175,0.875064499515441,0.860300121842609
347.998333333333,0.840730621200541,0.879616401986365,0.860300121842609
353.998333333333,0.843869763297328,0.872476825425837,0.859663862536845
