Time,zero,half,max
0,0.743011292,0.736929053,0.73937139
11.99333333,0.737975636,0.72771157,0.712261724
23.99333333,0.738935011,0.719363374,0.706262782
35.99333333,0.732830847,0.737916031,0.699421206
47.99333333,0.724733452,0.746284252,0.696295231
59.99333333,0.722074587,0.714117186,0.697448683
71.99333333,0.723476387,0.715462445,0.703921264
83.99333333,0.717315066,0.717513304,0.700818796
95.99333333,0.722870499,0.721643586,0.730667521
107.9933333,0.718233706,0.72022581,0.702507165
119.9933333,0.712500315,0.712843015,0.69127495
131.9933333,0.712348138,0.711469556,0.694008125
143.9933333,0.708189392,0.719992953,0.697700923
155.9933333,0.705726042,0.715943453,0.698494477
167.9933333,0.704152646,0.724344388,0.703385889
179.9933333,0.700922507,0.71374587,0.707220572
191.9933333,0.708296893,0.721815208,0.700534919
203.9916667,0.698668271,0.719964115,0.711354295
215.9933333,0.699176488,0.721788733,0.721411516
227.9933333,0.697233282,0.726488571,0.715217955
239.9916667,0.702751427,0.721086967,0.71632902
251.9916667,0.705770215,0.721069189,0.722162667
263.9916667,0.698677807,0.724334484,0.720356137
275.9916667,0.69297468,0.725427707,0.719265353
287.9916667,0.690670814,0.728301056,0.718899617
299.9916667,0.701602181,0.724349325,0.718531312
312.155,0.688528271,0.716691478,0.688124077
323.9916667,0.698423013,0.727586319,0.714854286
335.9916667,0.694956156,0.728645071,0.71596333
347.9916667,0.695020407,0.728559613,0.719611163
359.9916667,0.697952347,0.719954528,0.713743168
371.9916667,0.693031717,0.726861982,0.715890449
383.9916667,0.694176441,0.72721846,0.715903701
395.9916667,0.694751272,0.725065777,0.713718894
