Time,max,half,zero
0,0.760409397100971,0.789776672454084,0.794877556864664
5,0.774930475517526,0.789137023166442,0.800585255494744
10,0.783357911500463,0.791692738976844,0.807525075525407
15,0.841985712077137,0.780775481698219,0.803744094654081
20,0.798052140645836,0.780775481698219,0.812552948060928
25,0.803112927704115,0.782067826262616,0.811925195629162
30,0.813180428418335,0.794241434210861,0.816315807532802
35,0.792330561817369,0.813180428418335,0.813180428418335
40,0.795513267854993,0.796148587791619,0.801849772697879
45,0.789137023166442,0.807525075525407,0.801217680432149
50,0.785931486128946,0.787856293997534,0.80248145808769
55,0.785288860202954,0.787856293997534,0.806265881106436
60,0.786573596207615,0.793604898352888,0.828207244111966
65,0.781421939538508,0.799319401312322,0.812552948060928
70,0.787215191921323,0.783357911500463,0.813807826586316
75,0.787856293997534,0.796148587791619,0.824454047851551
80,0.786573596207615,0.792967947766579,0.820073734093955
85,0.792967947766579,0.823202882597953,0.821951429737353
90,0.790415853268699,0.799319401312322,0.82758172248123
95,0.808783368548436,0.797417971857358,0.82132560542895
100,0.790415853268699,0.846384717498846,0.828207244111966
105,0.800585255494744,0.811297244793309,0.847643669194931
110,0.784645807044087,0.864765913719848,0.824454047851551
115,0.805005545833296,0.810040741440477,0.830083819438213
120,0.794241434210861,0.808783368548436,0.825705163832223
125,0.796783423002381,0.806265881106436,0.830083819438213
130.163333333333,0.813180428418335,1.04806225248382,0.823828533198716
135,0.793604898352888,0.873122901360472,0.833212447674175
140,0.799952496309174,0.844498186744244,0.870541967570599
145,0.798685949946734,0.820073734093955,0.833212447674175
150,0.837595856052331,0.826330693364582,0.834464374195438
155,0.859663862536845,0.820073734093955,0.835090380887396
160.001666666667,0.803744094654081,0.819447665016703,0.876361941220286
165.001666666667,0.810040741440477,0.828207244111966,0.853955052318123
170,0.825079622130008,0.947178487099444,0.858392566191196
175,0.833212447674175,0.826956212367354,0.841985712077137
180.001666666667,0.834464374195438,0.841985712077137,0.841985712077137
185.001666666667,0.835716581493584,0.833838365696533,0.845755709428083
190,0.826956212367354,0.847014068334693,0.848903646269082
195,0.819447665016703,0.841985712077137,0.847014068334693
200,0.859028017523856,0.852058431750473,0.848903646269082
205,0.819447665016703,0.834464374195438,0.849534044574178
210.001666666667,0.831335107435309,0.847643669194931,0.851426954402087
215,0.831335107435309,0.838222529379737,0.852058431750473
220.001666666667,0.848903646269082,0.837595856052331,0.854587924504346
225.001666666667,0.838222529379737,0.835716581493584,0.870541967570599
230,0.854587924504346,0.843869763297328,0.875712917704933
235.001666666667,0.841358077156773,1.05993721377777,0.860300121842609
240.001666666667,0.840730621200541,0.845126834916949,0.858392566191196
245.001666666667,0.870541967570599,0.898844806175322,0.930220144805883
250.001666666667,0.855854704750824,0.913916244431979,0.862849294235801
255.001666666667,0.840730621200541,0.871831321791781,0.860300121842609
260.001666666667,0.84261352757832,0.862849294235801,0.866686773084639
265.163333333333,0.853955052318123,0.868611989134203,0.859028017523856
270.001666666667,0.855221135128659,0.862849294235801,0.866046000237358
275.001666666667,0.886175071368269,0.877011571457914,0.867969804619278
280.001666666667,0.847014068334693,0.855221135128659,0.867328040720069
285.001666666667,0.862211419958376,0.864126577857889,0.871186369652687
290.001666666667,0.859028017523856,0.888156638177907,0.870541967570599
295.001666666667,0.890809341038886,0.857122927236035,0.868611989134203
300.001666666667,0.857757507003529,0.865405720682808,0.873122901360472
305.001666666667,1.02623636661944,0.863487705201189,0.871186369652687
310.001666666667,0.902229692058233,0.887495375504359,0.882231577391994
315.001666666667,0.889481450664752,0.871186369652687,0.882231577391994
320.001666666667,0.873122901360472,0.985929904517862,0.881576750757922
325.001666666667,0.894812057091649,0.941199643592088,0.874416678756067
330.001666666667,0.880922600509976,0.891474366155257,0.875712917704933
335.001666666667,0.885516119531715,1.04225261114605,0.884857799124826
340,0.897497082803953,0.890145003021385,0.886834853660954
344.996666666667,0.898170510975486,0.882231577391994,0.880269125283781
349.996666666667,0.880269125283781,0.871186369652687,0.888156638177907
354.996666666667,0.902229692058233,0.891474366155257,0.882887088307931
359.996666666667,0.894812057091649,0.873122901360472,0.894142885916542
