Time,zero,max
0,0.701336116,0.713376885
6,0.716331688,0.716331688
12,0.723627354,0.710400431
18,0.719995542,0.711891365
24,0.714117604,0.696725
30,0.714117604,0.69284046
36,0.711891365,0.692058871
42,0.710400431,0.702099434
48,0.711146564,0.686543378
54,0.707401835,0.692058871
60,0.707401835,0.696725
66,0.699805096,0.701336116
72,0.703621658,0.708153545
78,0.707401835,0.719995542
84,0.699037316,0.715594972
90,0.702099434,0.723627354
96,0.709652869,0.711891365
102,0.717801105,0.720724391
108,0.711891365,0.724349913
114,0.722178392,0.725071296
120,0.719995542,0.732218846
126,0.719265353,0.746864587
132,0.719995542,0.757056552
138,0.730087007,0.759070768
144,0.712634805,0.759740502
150,0.75503452,0.765068974
156.1633333,0.688916771,0.790415853
162,0.733634303,0.778832706
168,0.733634303,0.794877557
174,0.739251652,0.789137023
180,0.74823572,0.807525076
185.9983333,0.752326076,0.817568942
191.9983333,0.762411092,0.810669094
197.9983333,0.763741602,0.830709441
203.9983333,0.772316188,0.826956212
209.9983333,0.77688441,0.820699714
215.9983333,0.783357912,0.822577188
221.9983333,0.782067826,0.838222529
227.9983333,0.787856294,0.830083819
233.9983333,0.788496904,0.838222529
239.9983333,0.798052141,0.835716581
245.9983333,0.785931486,0.838222529
251.9983333,0.796783423,0.847014068
257.9983333,0.811297245,0.849534045
263.9983333,0.805635852,0.853322517
269.9983333,0.808154345,0.854587925
275.9983333,0.818821505,0.864126578
281.9983333,0.808783369,0.867969805
287.9983333,0.828207244,0.860300122
293.9983333,0.819447665,0.863487705
299.9983333,0.820073734,0.866686773
305.9983333,0.825079622,0.8750645
311.9983333,0.834464374,0.863487705
318.1616667,0.77688441,0.880269125
323.9983333,0.830709441,0.873122901
329.9983333,0.825705164,0.86221142
335.9983333,0.837595856,0.8750645
341.9983333,0.838222529,0.877011571
347.9983333,0.836342884,0.87118637
353.9983333,0.838849348,0.877661829
359.9983333,0.840730621,0.900196063
