EG10227	dicB
EG10339	ftsA
EG10340	ftsE
EG10342	ftsQ
EG10345	ftsX
EG10347	ftsZ
EG10464	lpxL
EG10609	mreC
EG10984	sulA
EG11086	ftsL
EG11183	damX
EG11191	slmA
EG11203	yihA
EG11299	rng
EG11363	amiB
EG11507	rlmE
EG11529	ftsN
EG11823	amiA
EG11878	zapB
EG12474	blc
EG13086	amiC
EG13111	ftsB
EG13992	cedA
EG14169	zipA
EG14341	ymgF
